"Dep5","Population","Partnered","Population7","Partnered7","UnweightedMeanProportion","OverallProportion"
1,809742,561081,5668194,3927567,0.712671563060549,0.692913298309832
2,799170,524314,5594190,3670198,0.666487854862407,0.656073175920017
3,827334,512267,5791338,3585869,0.634919374813232,0.619177986157948
4,885258,497694,6196806,3483858,0.57324671395814,0.562202205458748
5,919719,469109,6438033,3283763,0.512021205069476,0.510056876067582
