date,cases
"May 9, 2020",8
"May 10, 2020",5
"May 11, 2020",16
"May 12, 2020",7
"May 13, 2020",9
"May 14, 2020",19
"May 15, 2020",13
"May 16, 2020",5
"May 17, 2020",6
"May 18, 2020",6
"May 19, 2020",5
"May 20, 2020",5
"May 21, 2020",10
"May 22, 2020",9
"May 23, 2020",2
"May 24, 2020",2
"May 25, 2020",5
"May 26, 2020",7
"May 27, 2020",10
"May 28, 2020",6
"May 29, 2020",8
"May 30, 2020",8
"May 31, 2020",4
"June 1, 2020",9
"June 2, 2020",7
"June 3, 2020",8
"June 4, 2020",3
"June 5, 2020",1
"June 6, 2020",4
"June 7, 2020",2
"June 8, 2020",0
"June 9, 2020",4
"June 10, 2020",7
"June 11, 2020",5
"June 12, 2020",8
"June 13, 2020",10
"June 14, 2020",12
"June 15, 2020",11
"June 16, 2020",20
"June 17, 2020",18
"June 18, 2020",13
"June 19, 2020",25
"June 20, 2020",17
"June 21, 2020",13
"June 22, 2020",18
"June 23, 2020",18
"June 24, 2020",33
"June 25, 2020",28
"June 26, 2020",41
"June 27, 2020",46
"June 28, 2020",68
"June 29, 2020",61
"June 30, 2020",76
"July 1, 2020",73
"July 2, 2020",62
"July 3, 2020",98
"July 4, 2020",68
"July 5, 2020",98
"July 6, 2020",168
"July 7, 2020",122
"July 8, 2020",149
"July 9, 2020",143
"July 10, 2020",289
"July 11, 2020",256
"July 12, 2020",168
"July 13, 2020",248
"July 14, 2020",221
"July 15, 2020",294
"July 16, 2020",378
"July 17, 2020",212
"July 18, 2020",338
"July 19, 2020",264
"July 20, 2020",342
"July 21, 2020",437
"July 22, 2020",377
"July 23, 2020",288
"July 24, 2020",335
"July 25, 2020",411
"July 26, 2020",496
"July 27, 2020",359
"July 28, 2020",272
"July 29, 2020",630
"July 30, 2020",550
"July 31, 2020",369
"August 1, 2020",602
"August 2, 2020",353
"August 3, 2020",406
"August 4, 2020",687
"August 5, 2020",445
"August 6, 2020",421
"August 7, 2020",454
"August 8, 2020",373
"August 9, 2020",310
"August 10, 2020",322
"August 11, 2020",400
"August 12, 2020",256
"August 13, 2020",362
"August 14, 2020",298
"August 15, 2020",266
"August 16, 2020",270
"August 17, 2020",217
"August 18, 2020",208
"August 19, 2020",234
"August 20, 2020",169
"August 21, 2020",175
"August 22, 2020",203
"August 23, 2020",111
"August 24, 2020",147
"August 25, 2020",144
"August 26, 2020",111
"August 27, 2020",111
"August 28, 2020",94
"August 29, 2020",114
"August 30, 2020",73
"August 31, 2020", 70
